Date,Exchange Rate
2018-10-21,6636.8
2018-10-20,6609.7
2018-10-19,6630.2
2018-10-18,6778.2
2018-10-17,6792.7
2018-10-16,6891.8
2018-10-15,7704.2
2018-10-14,6399.1
2018-10-13,6331.4
2018-10-12,6348.4
2018-10-11,6628.0
2018-10-10,6659.7
2018-10-09,6680.6
2018-10-08,6718.4
2018-10-07,6633.7
2018-10-06,6648.2
2018-10-05,6666.9
2018-10-04,6640.0
2018-10-03,6552.5
2018-10-02,6638.4
2018-10-01,6659.6
2018-09-30,6656.5
2018-09-29,6631.2
2018-09-28,6825.0
2018-09-27,6727.2
2018-09-26,6552.7
2018-09-25,6585.1
2018-09-24,6721.7
2018-09-23,6783.3
2018-09-22,6840.0
2018-09-21,6790.0
2018-09-20,6535.0
2018-09-19,6521.5
2018-09-18,6384.0
2018-09-17,6532.8
2018-09-16,6517.8
2018-09-15,6568.9
2018-09-14,6593.0
2018-09-13,6523.4
2018-09-12,6355.0
2018-09-11,6397.1
2018-09-10,6363.5
2018-09-09,6427.6
2018-09-08,6475.1
2018-09-07,6532.9
2018-09-06,6720.8
2018-09-05,7400.0
2018-09-04,7410.3
2018-09-03,7341.4
2018-09-02,7367.0
2018-09-01,7260.4
2018-08-31,7084.0
2018-08-30,7060.0
2018-08-29,7133.6
2018-08-28,7127.2
2018-08-27,6911.6
2018-08-26,6784.1
2018-08-25,6795.5
2018-08-24,6728.3
2018-08-23,6565.6
2018-08-22,6885.0
2018-08-21,6500.0
2018-08-20,6520.6
2018-08-19,6550.0
2018-08-18,6615.0
2018-08-17,6588.7
2018-08-16,6474.7
2018-08-15,6623.8
2018-08-14,6244.0
2018-08-13,6541.8
2018-08-12,6481.7
2018-08-11,6485.7
2018-08-10,6573.6
2018-08-09,6623.7
2018-08-08,6720.1
2018-08-07,7149.9
2018-08-06,7149.9
2018-08-05,7089.7
2018-08-04,7490.0
2018-08-03,7533.2
2018-08-02,7707.1
2018-08-01,7755.6
2018-07-31,8179.5
2018-07-30,8274.2
2018-07-29,8293.9
2018-07-28,8246.4
2018-07-27,8280.3
2018-07-26,8313.1
2018-07-25,8485.7
2018-07-24,8500.2
2018-07-23,7800.7
2018-07-22,7572.7
2018-07-21,7458.0
2018-07-20,7681.0
2018-07-19,7559.9
2018-07-18,7586.5
2018-07-17,7462.9
2018-07-16,6750.0
2018-07-15,6388.9
2018-07-14,6320.0
2018-07-13,6335.1
2018-07-12,6377.7
2018-07-11,6402.8
2018-07-10,6680.1
2018-07-09,6820.0
2018-07-08,6790.8
2018-07-07,6826.1
2018-07-06,6636.9
2018-07-05,6697.7
2018-07-04,6778.3
2018-07-03,6672.4
2018-07-02,6672.4
2018-07-01,6435.0
2018-06-30,6518.1
2018-06-29,6273.0
2018-06-28,6167.7
2018-06-27,6181.4
2018-06-26,6273.7
2018-06-25,6334.2
2018-06-24,6249.7
2018-06-23,6253.9
2018-06-22,6730.7
2018-06-21,6787.1
2018-06-20,6818.2
2018-06-19,6832.9
2018-06-18,6826.8
2018-06-17,6573.0
2018-06-16,6557.2
2018-06-15,6655.5
2018-06-14,6703.4
2018-06-13,6611.7
2018-06-12,6873.2
2018-06-11,6897.0
2018-06-10,7498.1
2018-06-09,7684.9
2018-06-08,7697.0
2018-06-07,7756.1
2018-06-06,7698.0
2018-06-05,7669.0
2018-06-04,7761.5
2018-06-03,7777.4
2018-06-02,7691.2
2018-06-01,7599.8
2018-05-31,7599.7
2018-05-30,7557.5
2018-05-29,7527.9
2018-05-28,7434.8
2018-05-27,7411.5
2018-05-26,7621.7
2018-05-25,7654.1
2018-05-24,7718.0
2018-05-23,8020.0
2018-05-22,8406.5
2018-05-21,8586.9
2018-05-20,8580.0
2018-05-19,8400.1
2018-05-18,8276.6
2018-05-17,8466.9
2018-05-16,8488.7
2018-05-15,8838.0
2018-05-14,8882.4
2018-05-13,8753.0
2018-05-12,8631.6
2018-05-11,9015.2
2018-05-10,9390.0
2018-05-09,9370.9
2018-05-08,9469.7
2018-05-07,9675.7
2018-05-06,9963.9
2018-05-05,9990.0
2018-05-04,9811.9
2018-05-03,9838.0
2018-05-02,9279.8
2018-05-01,9240.7
2018-04-30,9450.0
2018-04-29,9564.1
2018-04-28,9436.0
2018-04-27,9381.1
2018-04-26,9308.0
2018-04-25,9761.5
2018-04-24,9737.9
2018-04-23,8940.0
2018-04-22,8979.8
2018-04-21,9029.0
2018-04-20,8937.5
2018-04-19,8296.8
2018-04-18,8229.0
2018-04-17,8169.0
2018-04-16,8415.0
2018-04-15,8426.3
2018-04-14,8182.0
2018-04-13,8230.0
2018-04-12,8083.7
2018-04-11,6975.7
2018-04-10,6890.6
2018-04-09,7187.4
2018-04-08,7114.8
2018-04-07,7075.4
2018-04-06,6851.5
2018-04-05,6911.0
2018-04-04,7422.0
2018-04-03,7509.6
2018-04-02,7121.4
2018-04-01,7035.1
2018-03-31,7221.9
2018-03-30,7267.3
2018-03-29,7963.9
2018-03-28,8118.0
2018-03-27,8209.0
2018-03-26,8496.4
2018-03-25,8673.9
2018-03-24,9040.2
2018-03-23,8910.0
2018-03-22,9088.0
2018-03-21,9175.2
2018-03-20,9025.0
2018-03-19,8689.9
2018-03-18,8285.6
2018-03-17,8350.1
2018-03-16,8602.7
2018-03-15,8416.7
2018-03-14,9400.1
2018-03-13,9479.0
2018-03-12,9894.7
2018-03-11,9726.1
2018-03-10,9500.0
2018-03-09,9420.5
2018-03-08,10109.0
2018-03-07,10899.0
2018-03-06,11403.0
2018-03-05,11696.0
2018-03-04,11544.0
2018-03-03,11526.0
2018-03-02,11189.0
2018-03-01,11087.0
2018-02-28,11063.0
2018-02-27,10880.0
2018-02-26,10437.0
2018-02-25,9840.0
2018-02-24,10499.0
2018-02-23,10395.0
2018-02-22,10912.0
2018-02-21,11239.0
2018-02-20,11776.0
2018-02-19,11250.0
2018-02-18,11250.0
2018-02-17,11083.0
2018-02-16,10270.0
2018-02-15,10175.0
2018-02-14,9488.0
2018-02-13,8952.8
2018-02-12,9000.0
2018-02-11,8569.0
2018-02-10,9074.3
2018-02-09,8748.0
2018-02-08,8648.8
2018-02-07,8488.2
2018-02-06,7860.0
2018-02-05,8378.0
2018-02-04,9403.3
2018-02-03,9495.0
2018-02-02,9201.0
2018-02-01,10311.0
2018-01-31,10411.0
2018-01-30,11250.0
2018-01-29,11957.0
2018-01-28,12181.0
2018-01-27,11683.0
2018-01-26,11647.0
2018-01-25,11723.0
2018-01-24,11529.0
2018-01-23,11383.0
2018-01-22,11886.0
2018-01-21,12732.0
2018-01-20,13002.0
2018-01-19,11879.0
2018-01-18,11881.0
2018-01-17,11490.0
2018-01-16,13604.0
2018-01-15,14350.0
2018-01-14,14391.0
2018-01-13,14580.0
2018-01-12,14095.0
2018-01-11,14949.8
2018-01-10,14896.0
2018-01-09,15355.0
2018-01-08,16279.0
2018-01-07,17176.0
2018-01-06,17252.0
2018-01-05,17101.0
2018-01-04,15390.0
2018-01-03,15428.0
2018-01-02,15300.0
2018-01-01,13893.0
2017-12-31,14140.0
2017-12-30,14403.0
2017-12-29,15105.0
2017-12-28,15467.0
2017-12-27,16494.0
2017-12-26,16048.0
2017-12-25,14278.0
2017-12-24,14047.0
2017-12-23,14986.0
2017-12-22,15826.0
2017-12-21,17333.0
2017-12-20,17709.0
2017-12-19,18987.0
2017-12-18,19171.0
2017-12-17,19891.0
2017-12-16,19548.0
2017-12-15,18098.0
2017-12-14,16999.0
2017-12-13,17288.0
2017-12-12,17500.0
2017-12-11,17443.0
2017-12-10,15728.0
2017-12-09,16300.0
2017-12-08,17160.0
2017-12-07,16639.0
2017-12-06,13598.0
2017-12-05,11949.0
2017-12-04,11598.0
2017-12-03,11842.0
2017-12-02,11187.0
2017-12-01,10949.0
2017-11-30,10540.0
2017-11-29,11427.2
2017-11-28,9977.8
2017-11-27,9760.7
2017-11-26,9495.0
2017-11-25,8770.0
2017-11-24,8350.7
2017-11-23,8267.6
2017-11-22,8310.0
2017-11-21,8380.0
2017-11-20,8310.2
2017-11-19,8126.9
2017-11-18,7867.0
2017-11-17,8029.8
2017-11-16,8012.9
2017-11-15,7310.2
2017-11-14,6687.8
2017-11-13,6680.0
2017-11-12,6465.0
2017-11-11,6788.0
2017-11-10,7313.1
2017-11-09,7447.0
2017-11-08,7895.0
2017-11-07,7214.4
2017-11-06,7429.5
2017-11-05,7595.0
2017-11-04,7521.1
2017-11-03,7447.5
2017-11-02,7315.1
2017-11-01,6727.3
2017-10-31,6472.1
2017-10-30,6237.2
2017-10-29,6330.0
2017-10-28,5863.9
2017-10-27,6010.2
2017-10-26,5966.6
2017-10-25,5743.9
2017-10-24,5902.5
2017-10-23,6051.0
2017-10-22,6069.6
2017-10-21,6190.0
2017-10-20,6082.2
2017-10-19,5741.0
2017-10-18,5597.9
2017-10-17,5779.0
2017-10-16,5803.2
2017-10-15,5876.9
2017-10-14,5854.3
2017-10-13,5874.3
2017-10-12,5437.6
2017-10-11,4879.5
2017-10-10,4940.0
2017-10-09,4874.9
2017-10-08,4630.0
2017-10-07,4477.1
2017-10-06,4424.5
2017-10-05,4364.6
2017-10-04,4353.8
2017-10-03,4439.9
2017-10-02,4482.0
2017-10-01,4420.5
2017-09-30,4393.4
2017-09-29,4244.6
2017-09-28,4268.6
2017-09-27,4226.5
2017-09-26,3983.0
2017-09-25,3977.0
2017-09-24,3781.3
2017-09-23,3808.0
2017-09-22,3743.6
2017-09-21,3903.7
2017-09-20,4048.0
2017-09-19,4110.0
2017-09-18,4113.9
2017-09-17,3775.9
2017-09-16,3874.0
2017-09-15,3809.0
2017-09-14,3917.2
2017-09-13,4159.6
2017-09-12,4378.4
2017-09-11,4373.1
2017-09-10,4325.0
2017-09-09,4381.2
2017-09-08,4686.2
2017-09-07,4672.8
2017-09-06,4631.4
2017-09-05,4469.9
2017-09-04,4606.0
2017-09-03,4699.8
2017-09-02,4969.0
2017-09-01,4927.4
2017-08-31,4749.9
2017-08-30,4641.1
2017-08-29,4644.2
2017-08-28,4395.2
2017-08-27,4405.7
2017-08-26,4364.0
2017-08-25,4461.2
2017-08-24,4370.8
2017-08-23,4248.6
2017-08-22,4140.0
2017-08-21,4093.5
2017-08-20,4192.0
2017-08-19,4184.1
2017-08-18,4359.0
2017-08-17,4489.1
2017-08-16,4403.6
2017-08-15,4430.0
2017-08-14,4330.3
2017-08-13,4183.7
2017-08-12,3965.4
2017-08-11,3690.6
2017-08-10,3444.4
2017-08-09,3424.4
2017-08-08,3482.9
2017-08-07,3440.0
2017-08-06,3309.8
2017-08-05,3331.9
2017-08-04,2874.8
2017-08-03,2813.0
2017-08-02,2757.8
2017-08-01,2901.6
2017-07-31,2883.5
2017-07-30,2756.2
2017-07-29,2794.2
2017-07-28,2819.9
2017-07-27,2682.2
2017-07-26,2612.0
2017-07-25,2790.1
2017-07-24,2812.0
2017-07-23,2875.7
2017-07-22,2912.9
2017-07-21,2874.5
2017-07-20,2919.9
2017-07-19,2399.9
2017-07-18,2380.2
2017-07-17,2223.3
2017-07-16,2048.8
2017-07-15,2210.1
2017-07-14,2345.6
2017-07-13,2400.0
2017-07-12,2394.0
2017-07-11,2372.8
2017-07-10,2498.1
2017-07-09,2555.6
2017-07-08,2542.6
2017-07-07,2598.0
2017-07-06,2603.3
2017-07-05,2617.6
2017-07-04,2628.0
2017-07-03,2584.0
2017-07-02,2470.0
2017-07-01,2440.9
2017-06-30,2511.1
2017-06-29,2537.0
2017-06-28,2561.1
2017-06-27,2524.0
2017-06-26,2510.4
2017-06-25,2595.0
2017-06-24,2700.0
2017-06-23,2725.3
2017-06-22,2709.0
2017-06-21,2760.0
